2026-02-24 08:09:30.165 | INFO     | Celery | logging:callHandlers:1706 - beat: Starting...
2026-02-24 08:09:32.361 | INFO     | Celery | logging:callHandlers:1706 - Scheduler: Sending due task fetch-proxies-every-12-hours (tasks.fetch_proxies)
2026-02-24 08:09:36.525 | INFO     | Celery | logging:callHandlers:1706 - Scheduler: Sending due task sync-proxies-every-12-hours (tasks.sync_proxies)
2026-02-24 08:09:36.528 | INFO     | Celery | logging:callHandlers:1706 - Scheduler: Sending due task check-proxies-every-2-hours (tasks.check_proxies)
2026-02-24 08:09:36.530 | INFO     | Celery | logging:callHandlers:1706 - Scheduler: Sending due task fetch-and-parse-jobs-every-2-minutes (jobCollectionWebApi.tasks.job_parser.process_job_parsing_task)
2026-02-24 08:09:47.347 | INFO     | Celery | core.celery_events:init_worker_db:96 - Initializing DB for Worker Process...
2026-02-24 08:09:47.555 | INFO     | Celery | logging:callHandlers:1706 - All database tables created successfully
2026-02-24 08:09:47.555 | INFO     | Celery | logging:callHandlers:1706 - PostgreSQL connection initialized successfully
2026-02-24 08:09:49.805 | INFO     | Celery | logging:callHandlers:1706 - Connected to redis://:**@localhost:6379/2
2026-02-24 08:09:51.855 | INFO     | Celery | logging:callHandlers:1706 - mingle: searching for neighbors
2026-02-24 08:09:59.048 | INFO     | Celery | logging:callHandlers:1706 - mingle: all alone
2026-02-24 08:10:09.262 | INFO     | Celery | logging:callHandlers:1706 - celery@DESKTOP-7I2DOLV ready.
2026-02-24 08:10:09.269 | INFO     | Celery | logging:callHandlers:1706 - Task tasks.fetch_proxies[33bcfcb8-9b7b-4ffc-bd32-c8a2ab70e806] received
2026-02-24 08:10:09.270 | INFO     | Celery | core.celery_events:task_started_handler:102 - Task Started: tasks.fetch_proxies [33bcfcb8-9b7b-4ffc-bd32-c8a2ab70e806]
2026-02-24 08:10:10.143 | INFO     | Celery | logging:callHandlers:1706 - Fetched 100 IPs from URL: http://www.89ip.cn/tqdl.html?api=1&num=100
2026-02-24 08:10:14.296 | INFO     | Celery | core.celery_events:task_success_handler:137 - Task Success: tasks.fetch_proxies [33bcfcb8-9b7b-4ffc-bd32-c8a2ab70e806]
2026-02-24 08:10:14.333 | INFO     | Celery | logging:callHandlers:1706 - Task tasks.fetch_proxies[33bcfcb8-9b7b-4ffc-bd32-c8a2ab70e806] succeeded in 5.0310000000026776s: None
2026-02-24 08:10:14.337 | INFO     | Celery | logging:callHandlers:1706 - Task tasks.sync_proxies[586a1701-34fd-413b-8ba7-94a3aab25861] received
2026-02-24 08:10:14.338 | INFO     | Celery | core.celery_events:task_started_handler:102 - Task Started: tasks.sync_proxies [586a1701-34fd-413b-8ba7-94a3aab25861]
2026-02-24 08:10:14.347 | INFO     | Celery | logging:callHandlers:1706 - Syncing proxies from Redis to DB...
2026-02-24 08:10:14.356 | INFO     | Celery | logging:callHandlers:1706 - Synced 1 proxies to DB.
2026-02-24 08:10:14.358 | INFO     | Celery | core.celery_events:task_success_handler:137 - Task Success: tasks.sync_proxies [586a1701-34fd-413b-8ba7-94a3aab25861]
2026-02-24 08:10:14.365 | INFO     | Celery | logging:callHandlers:1706 - Task tasks.sync_proxies[586a1701-34fd-413b-8ba7-94a3aab25861] succeeded in 0.030999999995401595s: None
2026-02-24 08:10:14.368 | INFO     | Celery | logging:callHandlers:1706 - Task tasks.check_proxies[3fccaaa4-805f-41f9-bcdb-53085fa3df34] received
2026-02-24 08:10:14.370 | INFO     | Celery | core.celery_events:task_started_handler:102 - Task Started: tasks.check_proxies [3fccaaa4-805f-41f9-bcdb-53085fa3df34]
2026-02-24 08:10:14.376 | INFO     | Celery | logging:callHandlers:1706 - Checking 1 proxies...
2026-02-24 08:10:15.006 | WARNING  | Celery | logging:callHandlers:1706 - Proxy 103.154.139.61:3125 check failed: Server disconnected
2026-02-24 08:10:15.009 | INFO     | Celery | logging:callHandlers:1706 - Proxy check complete. Success: 0
2026-02-24 08:10:15.011 | INFO     | Celery | core.celery_events:task_success_handler:137 - Task Success: tasks.check_proxies [3fccaaa4-805f-41f9-bcdb-53085fa3df34]
2026-02-24 08:10:15.018 | INFO     | Celery | logging:callHandlers:1706 - Task tasks.check_proxies[3fccaaa4-805f-41f9-bcdb-53085fa3df34] succeeded in 0.6410000000032596s: None
2026-02-24 08:10:15.021 | INFO     | Celery | logging:callHandlers:1706 - Task jobCollectionWebApi.tasks.job_parser.process_job_parsing_task[e7b5ffeb-57ae-419e-9e93-9545f86df492] received
2026-02-24 08:10:15.022 | INFO     | Celery | core.celery_events:task_started_handler:102 - Task Started: jobCollectionWebApi.tasks.job_parser.process_job_parsing_task [e7b5ffeb-57ae-419e-9e93-9545f86df492]
2026-02-24 08:10:15.028 | INFO     | Celery | logging:callHandlers:1706 - Start polling for unparsed jobs (limit=10)...
2026-02-24 08:10:15.081 | INFO     | Celery | logging:callHandlers:1706 - Found 10 jobs to parse...
2026-02-24 08:10:18.407 | INFO     | Celery | logging:callHandlers:1706 - Invoking LLM for Job ID 744...
2026-02-24 08:10:19.995 | INFO     | Celery | logging:callHandlers:1706 - HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 08:10:20.029 | INFO     | Celery | logging:callHandlers:1706 - Successfully updated Job ID 744 with AI insight.
2026-02-24 08:10:20.029 | INFO     | Celery | logging:callHandlers:1706 - Invoking LLM for Job ID 526...
2026-02-24 08:10:21.620 | INFO     | Celery | logging:callHandlers:1706 - HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 08:10:21.638 | INFO     | Celery | logging:callHandlers:1706 - Successfully updated Job ID 526 with AI insight.
2026-02-24 08:10:21.638 | INFO     | Celery | logging:callHandlers:1706 - Invoking LLM for Job ID 572...
2026-02-24 08:10:23.009 | INFO     | Celery | logging:callHandlers:1706 - HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 08:10:23.029 | INFO     | Celery | logging:callHandlers:1706 - Successfully updated Job ID 572 with AI insight.
2026-02-24 08:10:23.029 | INFO     | Celery | logging:callHandlers:1706 - Invoking LLM for Job ID 574...
2026-02-24 08:10:24.212 | INFO     | Celery | logging:callHandlers:1706 - HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 08:10:24.231 | INFO     | Celery | logging:callHandlers:1706 - Successfully updated Job ID 574 with AI insight.
2026-02-24 08:10:24.232 | INFO     | Celery | logging:callHandlers:1706 - Invoking LLM for Job ID 519...
2026-02-24 08:10:25.437 | INFO     | Celery | logging:callHandlers:1706 - HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 08:10:25.455 | INFO     | Celery | logging:callHandlers:1706 - Successfully updated Job ID 519 with AI insight.
2026-02-24 08:10:25.456 | INFO     | Celery | logging:callHandlers:1706 - Invoking LLM for Job ID 522...
2026-02-24 08:10:26.846 | INFO     | Celery | logging:callHandlers:1706 - HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 08:10:26.865 | INFO     | Celery | logging:callHandlers:1706 - Successfully updated Job ID 522 with AI insight.
2026-02-24 08:10:26.865 | INFO     | Celery | logging:callHandlers:1706 - Invoking LLM for Job ID 524...
2026-02-24 08:10:28.180 | INFO     | Celery | logging:callHandlers:1706 - HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 08:10:28.199 | INFO     | Celery | logging:callHandlers:1706 - Successfully updated Job ID 524 with AI insight.
2026-02-24 08:10:28.199 | INFO     | Celery | logging:callHandlers:1706 - Invoking LLM for Job ID 531...
2026-02-24 08:10:29.302 | INFO     | Celery | logging:callHandlers:1706 - HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 08:10:29.323 | INFO     | Celery | logging:callHandlers:1706 - Successfully updated Job ID 531 with AI insight.
2026-02-24 08:10:29.324 | INFO     | Celery | logging:callHandlers:1706 - Invoking LLM for Job ID 530...
2026-02-24 08:10:31.055 | INFO     | Celery | logging:callHandlers:1706 - HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 08:10:31.067 | INFO     | Celery | logging:callHandlers:1706 - Successfully updated Job ID 530 with AI insight.
2026-02-24 08:10:31.068 | INFO     | Celery | logging:callHandlers:1706 - Invoking LLM for Job ID 534...
2026-02-24 08:10:32.572 | INFO     | Celery | logging:callHandlers:1706 - HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 08:10:32.595 | INFO     | Celery | logging:callHandlers:1706 - Successfully updated Job ID 534 with AI insight.
2026-02-24 08:10:32.597 | INFO     | Celery | core.celery_events:task_success_handler:137 - Task Success: jobCollectionWebApi.tasks.job_parser.process_job_parsing_task [e7b5ffeb-57ae-419e-9e93-9545f86df492]
2026-02-24 08:10:32.605 | INFO     | Celery | logging:callHandlers:1706 - Task jobCollectionWebApi.tasks.job_parser.process_job_parsing_task[e7b5ffeb-57ae-419e-9e93-9545f86df492] succeeded in 17.57800000000134s: {'status': 'success', 'type': 'batch_ai_parse'}
2026-02-24 08:11:36.530 | INFO     | Celery | logging:callHandlers:1706 - Scheduler: Sending due task fetch-and-parse-jobs-every-2-minutes (jobCollectionWebApi.tasks.job_parser.process_job_parsing_task)
2026-02-24 08:11:40.622 | INFO     | Celery | logging:callHandlers:1706 - Task jobCollectionWebApi.tasks.job_parser.process_job_parsing_task[afd68d03-fd68-48b2-b908-2363127229e7] received
2026-02-24 08:11:40.623 | INFO     | Celery | core.celery_events:task_started_handler:102 - Task Started: jobCollectionWebApi.tasks.job_parser.process_job_parsing_task [afd68d03-fd68-48b2-b908-2363127229e7]
2026-02-24 08:11:40.638 | INFO     | Celery | logging:callHandlers:1706 - Start polling for unparsed jobs (limit=10)...
2026-02-24 08:11:40.643 | INFO     | Celery | logging:callHandlers:1706 - Found 10 jobs to parse...
